Category: All categories

Week,covid: (Worldwide),hospital: (Worldwide),Vaccine: (Worldwide),Lockdown: (Worldwide)
2016-06-05,0,11,2,<1
2016-06-12,<1,11,2,<1
2016-06-19,0,11,2,<1
2016-06-26,0,11,2,<1
2016-07-03,0,11,2,<1
2016-07-10,0,12,2,<1
2016-07-17,0,12,2,<1
2016-07-24,0,12,2,<1
2016-07-31,<1,12,2,<1
2016-08-07,<1,11,2,<1
2016-08-14,0,11,2,<1
2016-08-21,<1,11,2,<1
2016-08-28,0,12,2,<1
2016-09-04,<1,11,2,<1
2016-09-11,<1,11,2,<1
2016-09-18,<1,12,3,<1
2016-09-25,<1,11,2,<1
2016-10-02,0,11,2,<1
2016-10-09,<1,11,2,<1
2016-10-16,0,11,2,<1
2016-10-23,<1,11,2,<1
2016-10-30,0,11,2,<1
2016-11-06,<1,11,2,<1
2016-11-13,0,11,2,<1
2016-11-20,<1,10,2,<1
2016-11-27,<1,11,2,<1
2016-12-04,0,11,2,<1
2016-12-11,0,10,2,<1
2016-12-18,0,10,2,<1
2016-12-25,0,9,2,<1
2017-01-01,<1,11,2,<1
2017-01-08,<1,11,2,<1
2017-01-15,<1,12,2,<1
2017-01-22,<1,11,2,<1
2017-01-29,0,12,2,<1
2017-02-05,<1,12,2,<1
2017-02-12,<1,12,2,<1
2017-02-19,0,12,2,<1
2017-02-26,<1,12,2,<1
2017-03-05,<1,12,2,<1
2017-03-12,<1,12,2,<1
2017-03-19,0,12,2,<1
2017-03-26,<1,12,2,<1
2017-04-02,<1,11,2,<1
2017-04-09,0,11,2,<1
2017-04-16,0,11,2,<1
2017-04-23,<1,11,2,<1
2017-04-30,0,12,2,<1
2017-05-07,<1,12,2,<1
2017-05-14,0,12,2,<1
2017-05-21,<1,12,3,<1
2017-05-28,0,12,2,<1
2017-06-04,0,12,3,<1
2017-06-11,0,12,2,<1
2017-06-18,<1,12,2,<1
2017-06-25,<1,12,2,<1
2017-07-02,0,12,2,<1
2017-07-09,<1,13,2,<1
2017-07-16,<1,13,2,<1
2017-07-23,<1,13,2,<1
2017-07-30,<1,13,2,<1
2017-08-06,<1,13,2,<1
2017-08-13,0,12,2,<1
2017-08-20,0,12,2,<1
2017-08-27,0,12,2,<1
2017-09-03,<1,12,3,<1
2017-09-10,<1,13,3,<1
2017-09-17,<1,13,3,<1
2017-09-24,<1,13,3,<1
2017-10-01,0,12,3,<1
2017-10-08,0,13,3,<1
2017-10-15,<1,13,3,<1
2017-10-22,0,13,3,<1
2017-10-29,<1,12,2,<1
2017-11-05,0,13,3,<1
2017-11-12,<1,13,2,<1
2017-11-19,0,11,2,<1
2017-11-26,0,12,2,<1
2017-12-03,<1,12,2,<1
2017-12-10,<1,12,2,<1
2017-12-17,<1,12,2,<1
2017-12-24,0,10,2,<1
2017-12-31,0,11,2,<1
2018-01-07,<1,12,3,<1
2018-01-14,0,12,4,<1
2018-01-21,0,13,4,<1
2018-01-28,0,13,3,<1
2018-02-04,<1,12,3,<1
2018-02-11,0,12,3,<1
2018-02-18,0,13,3,<1
2018-02-25,<1,12,3,<1
2018-03-04,0,13,3,<1
2018-03-11,<1,13,3,<1
2018-03-18,<1,13,3,<1
2018-03-25,<1,12,2,<1
2018-04-01,0,13,2,<1
2018-04-08,0,12,3,<1
2018-04-15,0,12,3,<1
2018-04-22,<1,13,3,<1
2018-04-29,0,13,3,<1
2018-05-06,<1,13,3,<1
2018-05-13,<1,13,3,<1
2018-05-20,0,12,2,<1
2018-05-27,0,12,2,<1
2018-06-03,0,12,2,<1
2018-06-10,0,13,2,<1
2018-06-17,<1,13,2,<1
2018-06-24,<1,13,2,<1
2018-07-01,<1,12,2,<1
2018-07-08,<1,13,2,<1
2018-07-15,0,13,3,<1
2018-07-22,<1,13,3,<1
2018-07-29,0,13,3,<1
2018-08-05,0,13,3,<1
2018-08-12,<1,13,3,<1
2018-08-19,<1,12,3,<1
2018-08-26,0,12,3,<1
2018-09-02,<1,13,2,<1
2018-09-09,<1,13,3,<1
2018-09-16,0,13,3,<1
2018-09-23,<1,13,3,<1
2018-09-30,<1,13,3,<1
2018-10-07,0,12,3,<1
2018-10-14,<1,12,3,<1
2018-10-21,0,12,3,<1
2018-10-28,0,12,3,<1
2018-11-04,0,12,3,<1
2018-11-11,<1,12,3,<1
2018-11-18,<1,12,3,<1
2018-11-25,<1,13,3,<1
2018-12-02,<1,12,2,<1
2018-12-09,<1,12,2,<1
2018-12-16,0,12,2,<1
2018-12-23,0,11,2,<1
2018-12-30,0,12,2,<1
2019-01-06,<1,13,3,<1
2019-01-13,0,13,3,<1
2019-01-20,<1,13,3,<1
2019-01-27,<1,13,3,<1
2019-02-03,0,14,3,<1
2019-02-10,<1,13,3,<1
2019-02-17,<1,13,3,<1
2019-02-24,<1,13,3,<1
2019-03-03,0,13,3,<1
2019-03-10,0,13,3,<1
2019-03-17,0,13,3,<1
2019-03-24,<1,13,3,<1
2019-03-31,<1,13,3,<1
2019-04-07,0,13,3,<1
2019-04-14,0,12,3,<1
2019-04-21,0,13,3,<1
2019-04-28,<1,13,3,<1
2019-05-05,0,12,3,<1
2019-05-12,<1,13,3,<1
2019-05-19,<1,13,3,<1
